name,category,address,roadAddress,district,latitude,longitude
인포네트워크글롭벌 주식회사(대구성서점),중국식,대구광역시 달서구 이곡동 1254,"대구광역시 달서구 이곡동로 24, 신세계대구주차빌딩 1층 (이곡동)",달서구,35.853689,128.510138
인화정,통닭(치킨),대구광역시 달서구 죽전동 257-1,"대구광역시 달서구 와룡로 227, 1층 (죽전동)",달서구,35.852960,128.536819
일 생고기.육회,한식,대구광역시 달서구 성당동 265-5,대구광역시 달서구 대명천로11길 11 (성당동),달서구,35.837784,128.553767
일가분식,분식,대구광역시 달서구 진천동 239-23 정덕한우리타운,"대구광역시 달서구 월배로28안길 54, 1층 109호 (진천동, 정덕한우리타운)",달서구,35.813235,128.528088
일가식당,분식,대구광역시 달서구 진천동 239-23 정덕한우리타운,"대구광역시 달서구 월배로28안길 54, 1층 109호 (진천동, 정덕한우리타운)",달서구,35.813235,128.528088
일개미식당,한식,대구광역시 달서구 월성동 1804-4 대구출판산업단지 22B1L,대구광역시 달서구 월곡로99길 29 (월성동),달서구,35.831814,128.520785
일공공키친(수목원점),경양식,대구광역시 달서구 대곡동 1038-3,"대구광역시 달서구 화암로 331, 2~3층 201,301,302호 (대곡동)",달서구,35.804180,128.519566
일공초밥,일식,대구광역시 달서구 신당동 1804-15,"대구광역시 달서구 서당로7길 20, 1층 (신당동)",달서구,35.854939,128.494471
일구칠칠(1977)동성막창,식육(숯불구이),대구광역시 달서구 장기동 560-2,대구광역시 달서구 용산로 56 (장기동),달서구,35.842345,128.530887
일구칠칠(1977)동성막창 서부법원점,식육(숯불구이),대구광역시 달서구 장기동 26-10,"대구광역시 달서구 달구벌대로291길 71-16, 1층 (장기동)",달서구,35.851951,128.524184
일구칠하나김해뒷고기,식육(숯불구이),대구광역시 달서구 본리동 0374-0001 (지상1층),"대구광역시 달서구 대명천로 201 (본리동,(지상1층))",달서구,35.840994,128.538176
일구팔이(1982)진국할매집곰탕,한식,대구광역시 달서구 상인동 1512,"대구광역시 달서구 월곡로 260, 1층 (상인동)",달서구,35.817850,128.539382
일등장어,한식,대구광역시 달서구 대곡동 809-10,"대구광역시 달서구 한실로6길 152, 주건축물제1동 1층 (대곡동)",달서구,35.794159,128.529577
일등장어 성서본점,식육(숯불구이),대구광역시 달서구 이곡동 1220-6,"대구광역시 달서구 달구벌대로251안길 28, 1층 (이곡동)",달서구,35.853527,128.505752
일리카페 상인점,까페,대구광역시 달서구 상인동 1348,"대구광역시 달서구 월곡로 340, 1~3층 (상인동)",달서구,35.823015,128.533454
일미,한식,대구광역시 달서구 송현동 530-11,대구광역시 달서구 학산로 174 (송현동),달서구,35.833761,128.545424
일미리금계찜닭성서장기점,한식,대구광역시 달서구 장기동 12-8,"대구광역시 달서구 장산로 63-21, 1층 (장기동)",달서구,35.852026,128.523180
일삼구구(1399),식육(숯불구이),대구광역시 달서구 상인동 1399-1 (지상1층),"대구광역시 달서구 월곡로 273-17 (상인동,(지상1층))",달서구,35.818155,128.537198
일신도가니 설렁탕,한식,대구광역시 달서구 송현동 2015-0004,대구광역시 달서구 앞산순환로 291 (송현동),달서구,35.827739,128.559504
일신푸드,한식,대구광역시 달서구 신당동 1261,"대구광역시 달서구 달서대로 555, 1층 124호 (신당동, 일신테크노밸리)",달서구,35.848573,128.491211
일심 생고기,식육(숯불구이),대구광역시 달서구 장기동 819-12,"대구광역시 달서구 장기로57동길 12, 1층 (장기동)",달서구,35.843012,128.530085
일심막창연탄구이,식육(숯불구이),대구광역시 달서구 호산동 718-8,"대구광역시 달서구 성서공단로15길 64, 1층 (호산동)",달서구,35.840565,128.490642
일월식당,한식,대구광역시 달서구 송현동 55-3,"대구광역시 달서구 구마로 216, 주건축물제1동 1층 (송현동)",달서구,35.836791,128.551345
일월식당,한식,대구광역시 달서구 송현동 55-3,"대구광역시 달서구 구마로 216, 주건축물제1동 2층 (송현동)",달서구,35.836791,128.551345
일참치,횟집,대구광역시 달서구 감삼동 704 죽전역 동화아이위시,"대구광역시 달서구 와룡로 123, 301동 2층 206호 (감삼동, 죽전역 동화아이위시)",달서구,35.843948,128.536132
일출,횟집,대구광역시 달서구 이곡동 1308-1 성서2차서한타운,"대구광역시 달서구 선원로 122, 111동 1층 103호 (이곡동, 성서2차서한타운)",달서구,35.858052,128.505791
일출회수산,횟집,대구광역시 달서구 성당동 654-19,"대구광역시 달서구 장기로 74, 1층 (성당동)",달서구,35.843615,128.552369
일통왕소금구이 신월성점,한식,대구광역시 달서구 월성동 1264 트럼프스타,"대구광역시 달서구 조암남로 42, 트럼프스타 1층 107,108호 (월성동)",달서구,35.821752,128.528064
일품낙지,한식,대구광역시 달서구 죽전동 180-14 (지상1층),"대구광역시 달서구 와룡로 270 (죽전동,(지상1층))",달서구,35.856844,128.537713
일품대패,식육(숯불구이),대구광역시 달서구 도원동 1434-1,"대구광역시 달서구 도원로 5, 1층 (도원동)",달서구,35.809140,128.536471
일품대패 성서점,식육(숯불구이),대구광역시 달서구 이곡동 1202-12,대구광역시 달서구 이곡서로 24 (이곡동),달서구,35.854225,128.504271
일품대패 월성점,한식,대구광역시 달서구 월성동 1865 그루조암타워,"대구광역시 달서구 조암로 105, 그루조암타워 1층 101,102,103,104,105호 (월성동)",달서구,35.821668,128.519423
일품도리닭도리탕 성서점,한식,대구광역시 달서구 이곡동 1208-2,"대구광역시 달서구 이곡서로7길 12-7, 1층 (이곡동)",달서구,35.853287,128.502532
일품돼지국밥,한식,대구광역시 달서구 상인동 54-5,"대구광역시 달서구 월곡로 332, 1층 (상인동)",달서구,35.822482,128.534098
일품돼지국밥,한식,대구광역시 달서구 호림동 11-10,"대구광역시 달서구 성서공단로15길 39, 1층 (호림동)",달서구,35.838474,128.490178
일품돼지국밥 신월성1호점,한식,대구광역시 달서구 월성동 1146-4,"대구광역시 달서구 조암남로14길 65, 1층 (월성동)",달서구,35.823607,128.525263
일품돼지국밥 용산점,한식,대구광역시 달서구 용산동 499-3,"대구광역시 달서구 선원로 266, 1층 (용산동)",달서구,35.858482,128.521759
일품돼지국밥 죽전본점,한식,대구광역시 달서구 죽전동 275-4,대구광역시 달서구 와룡로 216 (죽전동),달서구,35.851837,128.537675
일품돼지국밥(송현점),한식,대구광역시 달서구 송현동 201-1,"대구광역시 달서구 월배로 442, 1층 (송현동)",달서구,35.832873,128.554117
일품돼지국밥(이곡점),한식,대구광역시 달서구 이곡동 1272,"대구광역시 달서구 달구벌대로 1214, 1층 (이곡동)",달서구,35.851381,128.500168
일품돼지국밥(죽전점),한식,대구광역시 달서구 죽전동 270-8,"대구광역시 달서구 달구벌대로 1531, 1층 (죽전동)",달서구,35.850128,128.534472
일품양꼬치,중국식,대구광역시 달서구 상인동 267-1,"대구광역시 달서구 월배로42길 28, 1층 (상인동)",달서구,35.817053,128.536481
일품집달서,한식,대구광역시 달서구 유천동 352-1 외2필지,"대구광역시 달서구 달서대로 2 (유천동,외2필지)",달서구,35.811159,128.516362
일품푸드,김밥(도시락),대구광역시 달서구 호림동 10-9,"대구광역시 달서구 성서공단로11길 44-13, 1층 (호림동)",달서구,35.838984,128.489568
일품풍천장어,한식,대구광역시 달서구 이곡동 1202-8,"대구광역시 달서구 이곡서로 68, 1층 (이곡동)",달서구,35.854457,128.504069
일품한우구이식당,식육(숯불구이),대구광역시 달서구 송현동 1910-16,대구광역시 달서구 월배로67길 38 (송현동),달서구,35.826686,128.545210
임(林)갈매기살전문점,식육(숯불구이),대구광역시 달서구 두류동 0492-0018,대구광역시 달서구 달구벌대로344길 26 (두류동),달서구,35.855301,128.552795
임대로 식당,한식,대구광역시 달서구 상인동 1470-1 (지상1층),"대구광역시 달서구 상원로 24-8 (상인동,(지상1층))",달서구,35.812053,128.537071
임자만난족발,김밥(도시락),대구광역시 달서구 상인동 1441-9,"대구광역시 달서구 상원로15길 4, 1층 (상인동)",달서구,35.815353,128.533666
잇츠비어(It's Beer),호프/통닭,대구광역시 달서구 신당동 1790-16 지상1층,"대구광역시 달서구 서당로7길 42 (신당동,지상1층)",달서구,35.854957,128.493094
자갈치회집,횟집,대구광역시 달서구 월성동 1178-1,"대구광역시 달서구 조암남로14길 50, 1층 (월성동)",달서구,35.822929,128.525571
자금성,중국식,대구광역시 달서구 본동 608-6,대구광역시 달서구 학산로7길 89 (본동),달서구,35.836253,128.530573
자담치킨,호프/통닭,대구광역시 달서구 도원동 1438,"대구광역시 달서구 한실로 117, 331동 106호 (도원동, 대곡사계절타운)",달서구,35.808218,128.538323
자담치킨,호프/통닭,대구광역시 달서구 본리동 671-8,"대구광역시 달서구 용산로 10-1, 1층 (본리동)",달서구,35.838230,128.530919
자담치킨 성서계대점,일식,대구광역시 달서구 신당동 1666-12,"대구광역시 달서구 선원로 27-1, 1층 (신당동)",달서구,35.859326,128.495419
