adm_nm,stock,opened,closed,quarter,closure_rate,net
서구 평리1동,83,0,2,2016Q1,0.0241,-2
서구 평리2동,60,1,1,2016Q1,0.0167,0
서구 평리3동,206,3,3,2016Q1,0.0146,0
서구 평리4동,334,3,1,2016Q1,0.003,2
서구 평리5동,82,2,3,2016Q1,0.0366,-1
서구 평리6동,67,3,1,2016Q1,0.0149,2
수성구 고산1동,280,6,4,2016Q1,0.0143,2
수성구 고산2동,183,21,5,2016Q1,0.0273,16
수성구 고산3동,224,6,7,2016Q1,0.0312,-1
수성구 두산동,494,5,5,2016Q1,0.0101,0
수성구 만촌1동,172,3,5,2016Q1,0.0291,-2
수성구 만촌2동,125,1,1,2016Q1,0.008,0
수성구 만촌3동,142,3,3,2016Q1,0.0211,0
수성구 범물1동,107,2,1,2016Q1,0.0093,1
수성구 범물2동,73,1,2,2016Q1,0.0274,-1
수성구 범어1동,229,2,3,2016Q1,0.0131,-1
수성구 범어2동,143,3,1,2016Q1,0.007,2
수성구 범어3동,228,4,4,2016Q1,0.0175,0
수성구 범어4동,183,6,5,2016Q1,0.0273,1
수성구 상동,195,3,5,2016Q1,0.0256,-2
수성구 수성1가동,105,2,4,2016Q1,0.0381,-2
수성구 수성2·3가동,166,1,4,2016Q1,0.0241,-3
수성구 수성4가동,154,2,1,2016Q1,0.0065,1
수성구 중동,158,1,3,2016Q1,0.019,-2
수성구 지산1동,333,12,5,2016Q1,0.015,7
수성구 지산2동,167,2,3,2016Q1,0.018,-1
수성구 파동,80,2,0,2016Q1,0.0,2
수성구 황금1동,76,2,4,2016Q1,0.0526,-2
수성구 황금2동,200,3,8,2016Q1,0.04,-5
중구 남산1동,115,2,0,2016Q1,0.0,2
중구 남산2동,69,0,0,2016Q1,0.0,0
중구 남산3동,32,0,1,2016Q1,0.0312,-1
중구 남산4동,84,0,0,2016Q1,0.0,0
중구 대봉1동,200,12,3,2016Q1,0.015,9
중구 대봉2동,56,2,0,2016Q1,0.0,2
중구 대신동,105,3,2,2016Q1,0.019,1
중구 동인동,237,8,6,2016Q1,0.0253,2
중구 삼덕동,487,13,9,2016Q1,0.0185,4
중구 성내1동,457,11,11,2016Q1,0.0241,0
중구 성내2동,484,12,6,2016Q1,0.0124,6
중구 성내3동,77,1,0,2016Q1,0.0,1
군위군 군위읍,136,3,3,2016Q2,0.0221,0
군위군 부계면,93,2,0,2016Q2,0.0,2
군위군 산성면,11,0,0,2016Q2,0.0,0
군위군 삼국유사면,15,0,0,2016Q2,0.0,0
