quarter,emp_yoy,prod_yoy,firms_yoy,excess,cluster
2025Q1,0.0054031683259374574,0.12800314775165833,0.10879284649776455,-0.000506363337052367,성서산단
2025Q2,0.05198986718435572,-0.016725234726575833,0.11422335394688976,0.0013435360182397025,성서산단
2018Q2,,,,-0.0010453839322336006,제3산단
2018Q3,,,,-0.003774378224706102,제3산단
2018Q4,,,,-0.0030285543021165776,제3산단
2019Q1,,,,-0.004157849369945987,제3산단
2019Q2,-0.004383168632451362,-0.48168249660786977,-0.003987240829346095,-0.0029259524275077405,제3산단
2019Q3,-0.009728867623604476,0.35624999999999996,0.0012004801920768582,-0.0027208059417425145,제3산단
2019Q4,-0.006719462443004587,-0.15000000000000002,-0.001599360255897686,-0.003324900359699294,제3산단
2020Q1,-0.007284079084287187,-0.18829670329670334,-0.0012009607686148671,-0.002326789888971986,제3산단
2020Q2,-0.007524213559593318,-0.2613612565445026,-0.0020016012810247785,-0.001996796991514401,제3산단
2020Q3,-0.0034627154131100513,-0.33926267281105993,-0.003197442046362964,-0.0006950918440010558,제3산단
2020Q4,-0.000966417008939402,0.10620915032679745,-0.00040048057669206383,-0.00109457426986387,제3산단
2021Q1,0.0010482180293500676,0.22554660529344073,-0.00040080160320643543,-0.0012238908126021852,제3산단
2021Q2,0.00024195499637058582,0.3189679614403176,0.00040112314480555966,-0.0019279759966169732,제3산단
2021Q3,0.002666666666666595,0.30659785186218436,0.001202886928628688,-0.0014441038870210807,제3산단
2021Q4,-0.0016928657799274438,0.0976661742983751,-0.006009615384615419,0.0002838543472268476,제3산단
2022Q1,-0.0010471204188481353,-0.007566970450151866,-0.0036086607858861752,0.00014636170117302482,제3산단
2022Q2,-0.004757297210127409,0.1628546861564919,0.001603849238171584,-0.00042979151127432984,제3산단
2022Q3,-0.00523855577047061,0.3857158108252374,0.0004004805766919528,-3.787435975642324e-05,제3산단
2022Q4,-0.3494024547803618,2.1585746581978684,-0.016525594518339348,0.005423534156960867,제3산단
2023Q1,-0.3503467182712465,0.6855020035618877,-0.01810865191146882,0.009046076925682496,제3산단
2023Q2,-0.34724135137324796,0.3870018115942029,-0.023218574859887875,0.014901412930258847,제3산단
2023Q3,-0.32131572551243615,0.36075885978428346,0.0012009607686149781,0.015126730555967506,제3산단
2023Q4,0.06180960655330758,-0.4568115201090661,0.04672131147540992,0.010682579015055272,제3산단
2024Q1,0.06180960655330758,0.01486209390096116,0.04672131147540992,0.005100287372801451,제3산단
2024Q2,0.10152662281246116,0.04175926697209498,0.04508196721311486,0.003209153716248333,제3산단
