adm_nm,year,stock,closed,opened,rate
중구 성내2동,2021,566,42,44,0.074
중구 성내2동,2022,568,66,83,0.116
중구 성내2동,2023,585,97,102,0.166
중구 성내2동,2024,590,109,112,0.185
중구 성내2동,2025,593,43,46,0.073
중구 성내3동,2016,77,2,4,0.026
중구 성내3동,2017,79,4,12,0.051
중구 성내3동,2018,87,5,12,0.057
중구 성내3동,2019,94,9,8,0.096
중구 성내3동,2020,93,21,12,0.226
중구 성내3동,2021,84,6,5,0.071
중구 성내3동,2022,83,13,3,0.157
중구 성내3동,2023,73,13,12,0.178
중구 성내3동,2024,72,11,7,0.153
중구 성내3동,2025,68,5,2,0.074
