baseDate,baseTime,category,fcstDate,fcstTime,fcstValue,nx,ny
20260914,0500,WAV,20260915,0200,0,89,90
20260914,0500,PCP,20260915,0200,강수없음,89,90
20260914,0500,REH,20260915,0200,85,89,90
20260914,0500,SNO,20260915,0200,적설없음,89,90
20260914,0500,TMP,20260915,0300,19,89,90
20260914,0500,UUU,20260915,0300,0,89,90
20260914,0500,VVV,20260915,0300,-0.1,89,90
20260914,0500,VEC,20260915,0300,333,89,90
20260914,0500,WSD,20260915,0300,0.2,89,90
20260914,0500,SKY,20260915,0300,3,89,90
20260914,0500,PTY,20260915,0300,0,89,90
20260914,0500,POP,20260915,0300,20,89,90
20260914,0500,WAV,20260915,0300,0,89,90
20260914,0500,PCP,20260915,0300,강수없음,89,90
20260914,0500,REH,20260915,0300,85,89,90
20260914,0500,SNO,20260915,0300,적설없음,89,90
20260914,0500,TMP,20260915,0400,18,89,90
20260914,0500,UUU,20260915,0400,0,89,90
20260914,0500,VVV,20260915,0400,-0.2,89,90
20260914,0500,VEC,20260915,0400,0,89,90
20260914,0500,WSD,20260915,0400,0.2,89,90
20260914,0500,SKY,20260915,0400,3,89,90
20260914,0500,PTY,20260915,0400,0,89,90
20260914,0500,POP,20260915,0400,20,89,90
20260914,0500,WAV,20260915,0400,0,89,90
20260914,0500,PCP,20260915,0400,강수없음,89,90
20260914,0500,REH,20260915,0400,85,89,90
20260914,0500,SNO,20260915,0400,적설없음,89,90
20260914,0500,TMP,20260915,0500,18,89,90
20260914,0500,UUU,20260915,0500,0.1,89,90
20260914,0500,VVV,20260915,0500,0,89,90
20260914,0500,VEC,20260915,0500,297,89,90
20260914,0500,WSD,20260915,0500,0.2,89,90
20260914,0500,SKY,20260915,0500,3,89,90
20260914,0500,PTY,20260915,0500,0,89,90
20260914,0500,POP,20260915,0500,20,89,90
20260914,0500,WAV,20260915,0500,0,89,90
20260914,0500,PCP,20260915,0500,강수없음,89,90
20260914,0500,REH,20260915,0500,90,89,90
20260914,0500,SNO,20260915,0500,적설없음,89,90
20260914,0500,TMP,20260915,0600,17,89,90
20260914,0500,UUU,20260915,0600,0.1,89,90
20260914,0500,VVV,20260915,0600,-0.1,89,90
20260914,0500,VEC,20260915,0600,315,89,90
20260914,0500,WSD,20260915,0600,0.2,89,90
20260914,0500,SKY,20260915,0600,3,89,90
20260914,0500,PTY,20260915,0600,0,89,90
20260914,0500,POP,20260915,0600,20,89,90
20260914,0500,WAV,20260915,0600,0,89,90
20260914,0500,PCP,20260915,0600,강수없음,89,90
20260914,0500,REH,20260915,0600,90,89,90
